,0700.HK,0005.HK,0388.HK,AAPL,MSFT,TLT,USDJPY=X,GC=F,^HSI,^GSPC
0700.HK,1.0,0.44512426682837747,0.7551404270819111,0.12172536666280423,0.06255670966963703,0.0039711707296472476,0.011320749432625595,0.06759693892618607,0.8675233872214282,0.06475757045393085
0005.HK,0.44512426682837747,1.0,0.4569192563106227,0.11773312362923087,0.028748457961625215,0.10638715141294182,0.13326477979685342,0.1632408360394119,0.5962690930127679,0.07836696014196518
0388.HK,0.7551404270819111,0.4569192563106227,1.0,0.10554614265133008,0.005468035171927874,0.024870911842992366,0.01538981969310512,0.05630635220524359,0.8937333599764085,0.05728187426534287
AAPL,0.12172536666280423,0.11773312362923087,0.10554614265133008,1.0,0.5875243505160922,0.09249425470969623,0.025551999604437606,-0.0011446468293540746,0.12233883949506712,0.7669701272142867
MSFT,0.06255670966963703,0.028748457961625215,0.005468035171927874,0.5875243505160922,1.0,-0.017971871113071424,0.0676742941285354,-0.026964779067135534,0.028947414667401285,0.7587580729317533
TLT,0.0039711707296472476,0.10638715141294182,0.024870911842992366,0.09249425470969623,-0.017971871113071424,1.0,-0.09525276552957913,0.04458486041032689,0.026659177179680936,0.04285729473090695
USDJPY=X,0.011320749432625595,0.13326477979685342,0.01538981969310512,0.025551999604437606,0.0676742941285354,-0.09525276552957913,1.0,0.052848764889621536,0.020067604397357233,0.06836380292894804
GC=F,0.06759693892618607,0.1632408360394119,0.05630635220524359,-0.0011446468293540746,-0.026964779067135534,0.04458486041032689,0.052848764889621536,1.0,0.10229894076193037,0.0313495230800221
^HSI,0.8675233872214282,0.5962690930127679,0.8937333599764085,0.12233883949506712,0.028947414667401285,0.026659177179680936,0.020067604397357233,0.10229894076193037,1.0,0.08036457703415271
^GSPC,0.06475757045393085,0.07836696014196518,0.05728187426534287,0.7669701272142867,0.7587580729317533,0.04285729473090695,0.06836380292894804,0.0313495230800221,0.08036457703415271,1.0
