,0700.HK,0005.HK,0388.HK,AAPL,MSFT,TLT,USDJPY=X,GC=F,^HSI,^GSPC
0700.HK,0.11043234548518252,0.035465482181029045,0.10562492858720468,0.012772101028484516,0.005209455256475585,0.0001820988938275217,0.000431511126274458,0.004050647032946893,0.08044486865418056,0.004220158716726014
0005.HK,0.035465482181029045,0.05748478330813457,0.04611120478491121,0.008912678104370306,0.001727274136541247,0.003519704719922218,0.003664886315025277,0.007057558438164295,0.03989217864380325,0.0036846779883577974
0388.HK,0.10562492858720468,0.04611120478491121,0.17716630107180348,0.014027039842695212,0.0005767560046362151,0.0014445177003231714,0.000743006755915527,0.004273632513657062,0.1049705650785011,0.004728222099172148
AAPL,0.012772101028484516,0.008912678104370306,0.014027039842695212,0.0996933549147839,0.04648675624351806,0.00402984612750986,0.0009253939795628322,-6.51709179956647e-05,0.010778702103950856,0.0474899425721152
MSFT,0.005209455256475585,0.001727274136541247,0.0005767560046362151,0.04648675624351806,0.06279723654517835,-0.0006214470952331345,0.0019451928874832944,-0.001218474250431042,0.00202417965685669,0.037287535600849485
TLT,0.0001820988938275217,0.003519704719922218,0.0014445177003231714,0.00402984612750986,-0.0006214470952331345,0.01904062507278241,-0.001507602560636032,0.0011093720892102563,0.001026493843409415,0.001159726135016618
USDJPY=X,0.000431511126274458,0.003664886315025277,0.000743006755915527,0.0009253939795628322,0.0019451928874832944,-0.001507602560636032,0.013156408330633855,0.001093081986242053,0.0006422930314880457,0.0015377473081885809
GC=F,0.004050647032946893,0.007057558438164295,0.004273632513657062,-6.51709179956647e-05,-0.001218474250431042,0.0011093720892102563,0.001093081986242053,0.03251609969768432,0.005147417175422311,0.001108588199552393
^HSI,0.08044486865418056,0.03989217864380325,0.1049705650785011,0.010778702103950856,0.00202417965685669,0.001026493843409415,0.0006422930314880457,0.005147417175422311,0.07786423379340786,0.004397681376243146
^GSPC,0.004220158716726014,0.0036846779883577974,0.004728222099172148,0.0474899425721152,0.037287535600849485,0.001159726135016618,0.0015377473081885809,0.001108588199552393,0.004397681376243146,0.038457423050118344
