window,level_1,vol_ann
20,0700.HK,0.15049280281494287
20,0005.HK,0.13041370919297068
20,0388.HK,0.29457185198554237
20,AAPL,0.19968966080698547
20,MSFT,0.1295232532904594
20,TLT,0.11665771877480031
20,USDJPY=X,0.08758288732362797
20,GC=F,0.14670473639650494
20,^HSI,0.1595659988546773
20,^GSPC,0.10056813069504084
60,0700.HK,0.22022321770261755
60,0005.HK,0.18535179749361194
60,0388.HK,0.2977713058143893
60,AAPL,0.26509434083948996
60,MSFT,0.26060445690187944
60,TLT,0.12732987499299567
60,USDJPY=X,0.11845108183887765
60,GC=F,0.2501844990131096
60,^HSI,0.1807308704787351
60,^GSPC,0.14112405476928083
120,0700.HK,0.36832158192126013
120,0005.HK,0.29797250980346496
120,0388.HK,0.3947719135615236
120,AAPL,0.4236963625074296
120,MSFT,0.31881843845785185
120,TLT,0.13727093848817465
120,USDJPY=X,0.11818075475647688
120,GC=F,0.22269116658431157
120,^HSI,0.29504271344723215
120,^GSPC,0.24284767546180455
